client_id,client_name,segment,industry
1,Client 1,SME,Agriculture
2,Client 2,Corporate,Construction
3,Client 3,Retail,
4,Client 4,SME,Services
5,Client 5,Corporate,Trade
6,Client 6,Retail,
7,Client 7,SME,Construction
8,Client 8,Corporate,Manufacturing
9,Client 9,Retail,
10,Client 10,SME,Trade
11,Client 11,Corporate,Agriculture
12,Client 12,Retail,
13,Client 13,SME,Manufacturing
14,Client 14,Corporate,Services
15,Client 15,Retail,
16,Client 16,SME,Agriculture
17,Client 17,Corporate,Construction
18,Client 18,Retail,
19,Client 19,SME,Services
20,Client 20,Corporate,Trade
21,Client 21,Retail,
22,Client 22,SME,Construction
23,Client 23,Corporate,Manufacturing
24,Client 24,Retail,
25,Client 25,SME,Trade
26,Client 26,Corporate,Agriculture
27,Client 27,Retail,
28,Client 28,SME,Manufacturing
29,Client 29,Corporate,Services
30,Client 30,Retail,
31,Client 31,SME,Agriculture
32,Client 32,Corporate,Construction
33,Client 33,Retail,
34,Client 34,SME,Services
35,Client 35,Corporate,Trade
36,Client 36,Retail,
37,Client 37,SME,Construction
38,Client 38,Corporate,Manufacturing
39,Client 39,Retail,
40,Client 40,SME,Trade
41,Client 41,Corporate,Agriculture
42,Client 42,Retail,
43,Client 43,SME,Manufacturing
44,Client 44,Corporate,Services
45,Client 45,Retail,
46,Client 46,SME,Agriculture
47,Client 47,Corporate,Construction
48,Client 48,Retail,
49,Client 49,SME,Services
50,Client 50,Corporate,Trade
51,Client 51,Retail,
52,Client 52,SME,Construction
53,Client 53,Corporate,Manufacturing
54,Client 54,Retail,
55,Client 55,SME,Trade
56,Client 56,Corporate,Agriculture
57,Client 57,Retail,
58,Client 58,SME,Manufacturing
59,Client 59,Corporate,Services
60,Client 60,Retail,
61,Client 61,SME,Agriculture
62,Client 62,Corporate,Construction
63,Client 63,Retail,
64,Client 64,SME,Services
65,Client 65,Corporate,Trade
66,Client 66,Retail,
67,Client 67,SME,Construction
68,Client 68,Corporate,Manufacturing
69,Client 69,Retail,
70,Client 70,SME,Trade
71,Client 71,Corporate,Agriculture
72,Client 72,Retail,
73,Client 73,SME,Manufacturing
74,Client 74,Corporate,Services
75,Client 75,Retail,
76,Client 76,SME,Agriculture
77,Client 77,Corporate,Construction
78,Client 78,Retail,
79,Client 79,SME,Services
80,Client 80,Corporate,Trade
81,Client 81,Retail,
82,Client 82,SME,Construction
83,Client 83,Corporate,Manufacturing
84,Client 84,Retail,
85,Client 85,SME,Trade
86,Client 86,Corporate,Agriculture
87,Client 87,Retail,
88,Client 88,SME,Manufacturing
89,Client 89,Corporate,Services
90,Client 90,Retail,
91,Client 91,SME,Agriculture
92,Client 92,Corporate,Construction
93,Client 93,Retail,
94,Client 94,SME,Services
95,Client 95,Corporate,Trade
96,Client 96,Retail,
97,Client 97,SME,Construction
98,Client 98,Corporate,Manufacturing
99,Client 99,Retail,
100,Client 100,SME,Trade
101,Client 101,Corporate,Agriculture
102,Client 102,Retail,
103,Client 103,SME,Manufacturing
104,Client 104,Corporate,Services
105,Client 105,Retail,
106,Client 106,SME,Agriculture
107,Client 107,Corporate,Construction
108,Client 108,Retail,
109,Client 109,SME,Services
110,Client 110,Corporate,Trade
111,Client 111,Retail,
112,Client 112,SME,Construction
113,Client 113,Corporate,Manufacturing
114,Client 114,Retail,
115,Client 115,SME,Trade
116,Client 116,Corporate,Agriculture
117,Client 117,Retail,
118,Client 118,SME,Manufacturing
119,Client 119,Corporate,Services
120,Client 120,Retail,
121,Client 121,SME,Agriculture
122,Client 122,Corporate,Construction
123,Client 123,Retail,
124,Client 124,SME,Services
125,Client 125,Corporate,Trade
126,Client 126,Retail,
127,Client 127,SME,Construction
128,Client 128,Corporate,Manufacturing
129,Client 129,Retail,
130,Client 130,SME,Trade
131,Client 131,Corporate,Agriculture
132,Client 132,Retail,
133,Client 133,SME,Manufacturing
134,Client 134,Corporate,Services
135,Client 135,Retail,
136,Client 136,SME,Agriculture
137,Client 137,Corporate,Construction
138,Client 138,Retail,
139,Client 139,SME,Services
140,Client 140,Corporate,Trade
141,Client 141,Retail,
142,Client 142,SME,Construction
143,Client 143,Corporate,Manufacturing
144,Client 144,Retail,
145,Client 145,SME,Trade
146,Client 146,Corporate,Agriculture
147,Client 147,Retail,
148,Client 148,SME,Manufacturing
149,Client 149,Corporate,Services
150,Client 150,Retail,
