loan_id,client_id,report_quarter,currency,outstanding_amount,days_overdue,provision_amount
1,2,Q4 2024,UZS,2.09,30,0.0
2,3,Q4 2024,UZS,2.09,60,0.0
3,4,Q4 2024,UZS,2.09,0,0.0
4,5,Q4 2024,USD,2.09,30,0.0
5,6,Q4 2024,UZS,2.09,60,0.0
6,7,Q4 2024,UZS,2.09,0,0.0
7,8,Q4 2024,UZS,2.09,30,0.0
8,9,Q4 2024,USD,2.09,60,0.0
9,10,Q4 2024,UZS,2.09,0,0.0
10,11,Q4 2024,UZS,2.09,30,0.0
11,12,Q4 2024,UZS,2.09,60,0.0
12,13,Q4 2024,USD,2.09,0,0.0
13,14,Q4 2024,UZS,2.09,30,0.0
14,15,Q4 2024,UZS,2.09,60,0.0
15,16,Q4 2024,UZS,2.09,0,0.0
16,17,Q4 2024,USD,2.09,30,0.0
17,18,Q4 2024,UZS,2.09,60,0.0
18,19,Q4 2024,UZS,2.09,0,0.0
19,20,Q4 2024,UZS,2.09,30,0.0
20,21,Q4 2024,USD,2.09,60,0.0
21,22,Q4 2024,UZS,2.09,0,0.0
22,23,Q4 2024,UZS,2.09,30,0.0
23,24,Q4 2024,UZS,2.09,60,0.0
24,25,Q4 2024,USD,2.09,0,0.0
25,26,Q4 2024,UZS,2.09,30,0.0
26,27,Q4 2024,UZS,2.09,60,0.0
27,28,Q4 2024,UZS,2.09,0,0.0
28,29,Q4 2024,USD,2.09,30,0.0
29,30,Q4 2024,UZS,2.09,60,0.0
30,31,Q4 2024,UZS,2.09,0,0.0
31,32,Q4 2024,UZS,2.09,30,0.0
32,33,Q4 2024,USD,2.09,60,0.0
33,34,Q4 2024,UZS,2.09,0,0.0
34,35,Q4 2024,UZS,2.09,30,0.0
35,36,Q4 2024,UZS,2.09,60,0.0
36,37,Q4 2024,USD,2.09,0,0.0
37,38,Q4 2024,UZS,2.09,30,0.0
38,39,Q4 2024,UZS,2.09,60,0.0
39,40,Q4 2024,UZS,2.09,0,0.0
40,41,Q4 2024,USD,2.09,30,0.0
41,42,Q4 2024,UZS,2.09,60,0.0
42,43,Q4 2024,UZS,2.09,0,0.0
43,44,Q4 2024,UZS,2.09,30,0.0
44,45,Q4 2024,USD,2.09,60,0.0
45,46,Q4 2024,UZS,2.09,0,0.0
46,47,Q4 2024,UZS,1.95,30,0.0
47,71,Q4 2024,UZS,1.0,180,0.75
48,73,Q4 2024,USD,1.0,90,0.75
49,74,Q4 2024,UZS,1.0,120,0.75
50,76,Q4 2024,USD,1.0,150,0.75
51,52,Q1 2025,UZS,2.09,0,0.0
52,53,Q1 2025,USD,2.09,30,0.0
53,54,Q1 2025,UZS,2.09,60,0.0
54,55,Q1 2025,UZS,2.09,0,0.0
55,56,Q1 2025,UZS,2.09,30,0.0
56,57,Q1 2025,USD,2.09,60,0.0
57,58,Q1 2025,UZS,2.09,0,0.0
58,59,Q1 2025,UZS,2.09,30,0.0
59,60,Q1 2025,UZS,2.09,60,0.0
60,61,Q1 2025,USD,2.09,0,0.0
61,62,Q1 2025,UZS,2.09,30,0.0
62,63,Q1 2025,UZS,2.09,60,0.0
63,64,Q1 2025,UZS,2.09,0,0.0
64,65,Q1 2025,USD,2.09,30,0.0
65,66,Q1 2025,UZS,2.09,60,0.0
66,67,Q1 2025,UZS,2.09,0,0.0
67,68,Q1 2025,UZS,2.09,30,0.0
68,69,Q1 2025,USD,2.09,60,0.0
69,70,Q1 2025,UZS,2.09,0,0.0
70,71,Q1 2025,UZS,2.09,30,0.0
71,72,Q1 2025,UZS,2.09,60,0.0
72,73,Q1 2025,USD,2.09,0,0.0
73,74,Q1 2025,UZS,2.09,30,0.0
74,75,Q1 2025,UZS,2.09,60,0.0
75,76,Q1 2025,UZS,2.09,0,0.0
76,77,Q1 2025,USD,2.09,30,0.0
77,78,Q1 2025,UZS,2.09,60,0.0
78,79,Q1 2025,UZS,2.09,0,0.0
79,80,Q1 2025,UZS,2.09,30,0.0
80,81,Q1 2025,USD,2.09,60,0.0
81,82,Q1 2025,UZS,2.09,0,0.0
82,83,Q1 2025,UZS,2.09,30,0.0
83,84,Q1 2025,UZS,2.09,60,0.0
84,85,Q1 2025,USD,2.09,0,0.0
85,86,Q1 2025,UZS,2.09,30,0.0
86,87,Q1 2025,UZS,2.09,60,0.0
87,88,Q1 2025,UZS,2.09,0,0.0
88,89,Q1 2025,USD,2.09,30,0.0
89,90,Q1 2025,UZS,2.09,60,0.0
90,91,Q1 2025,UZS,2.09,0,0.0
91,92,Q1 2025,UZS,2.09,30,0.0
92,93,Q1 2025,USD,2.09,60,0.0
93,94,Q1 2025,UZS,2.09,0,0.0
94,95,Q1 2025,UZS,2.09,30,0.0
95,96,Q1 2025,UZS,2.09,60,0.0
96,97,Q1 2025,USD,2.09,0,0.0
97,98,Q1 2025,UZS,2.09,30,0.0
