asset_id,report_date,asset_type,currency,Term Months,interest_rate,amount
1,2024-Q1,loan,eur,11,22.9,0.16327
2,2024-Q1,cash,eur,93,23.77,0.150039
3,2024-Q1,loan,eur,79,20.0,0.203448
4,2024-Q1,security,eur,53,10.65,0.236754
5,2024-Q1,interbank,eur,52,13.14,0.204741
6,2024-Q1,cash,usd,104,12.08,0.20513
7,2024-Q1,interbank,eur,11,3.74,0.234746
8,2024-Q1,cash,uzs,84,20.51,0.167666
9,2024-Q1,security,eur,25,16.22,0.195575
10,2024-Q1,cash,eur,12,15.31,0.123173
11,2024-Q1,security,usd,64,5.29,0.264365
12,2024-Q1,loan,usd,118,3.68,0.325468
13,2024-Q1,cash,usd,89,20.95,0.161509
14,2024-Q1,interbank,eur,92,4.31,0.264651
15,2024-Q1,loan,uzs,87,1.77,0.319395
16,2024-Q1,security,eur,95,15.01,0.234705
17,2024-Q1,loan,eur,62,16.9,0.228008
18,2024-Q1,security,uzs,16,2.87,0.24636
19,2024-Q1,interbank,uzs,101,4.96,0.273856
20,2024-Q1,loan,usd,55,18.93,0.202049
21,2024-Q1,cash,eur,61,22.31,0.110068
22,2024-Q1,cash,usd,45,11.44,0.182485
23,2024-Q1,interbank,uzs,22,19.01,0.142532
24,2024-Q1,security,eur,112,7.67,0.275222
25,2024-Q1,loan,usd,94,16.88,0.222696
26,2024-Q1,cash,usd,78,13.37,0.18478
27,2024-Q1,security,usd,49,20.24,0.174173
28,2024-Q1,loan,uzs,99,18.62,0.229811
29,2024-Q1,security,eur,66,6.82,0.259046
30,2024-Q1,cash,usd,54,3.59,0.222436
31,2024-Q1,interbank,eur,55,19.38,0.155226
32,2024-Q1,cash,uzs,28,0.79,0.21444
33,2024-Q1,interbank,uzs,12,16.3,0.165601
34,2024-Q1,security,uzs,67,11.42,0.225548
35,2024-Q1,interbank,usd,107,1.81,0.263147
36,2024-Q1,interbank,eur,8,16.53,0.152105
37,2024-Q1,cash,eur,103,11.59,0.196309
38,2024-Q1,security,eur,100,20.64,0.19256
39,2024-Q1,security,usd,34,5.01,0.263465
40,2024-Q1,loan,uzs,76,0.06,0.309909
41,2024-Q1,security,usd,20,3.13,0.276084
42,2024-Q1,interbank,usd,91,6.47,0.248107
43,2024-Q1,security,uzs,85,15.65,0.214074
44,2024-Q1,interbank,uzs,43,8.7,0.22886
45,2024-Q1,loan,eur,9,2.84,0.273909
46,2024-Q1,interbank,eur,117,23.56,0.163119
47,2024-Q1,cash,uzs,54,2.6,0.22796
